0.4421 0.41386 0.27093 0.15368 0.12178 0.065699 0.067525 0.14886 0.16385 0.14 0.11243 0.086262 0.061908 0.041211 0.026406 0.02068 0.024101 0.030979 0.037952 0.044016 0.048859 0.0524 0.05471 0.055972 0.056408 0.056217 0.055535 0.054456 0.053077 0.051538 0.050051 0.048895 0.048382 0.048775 0.050205 0.052619 0.055814 0.059501 0.063391 0.067249 0.070927 0.074389 0.077736 0.081229 0.085312 0.090592 0.097743 0.10734 0.1197
0.18885 0.29056 0.29395 0.25301 0.22876 0.2064 0.2001 0.21187 0.19358 0.15425 0.11762 0.085367 0.056189 0.030672 0.0095326 0.0081166 0.021638 0.032569 0.041354 0.048269 0.053413 0.056839 0.058673 0.059142 0.05853 0.0571 0.055059 0.052564 0.049771 0.046873 0.04414 0.041925 0.040615 0.040525 0.041757 0.044149 0.047344 0.050918 0.054483 0.057736 0.06048 0.062647 0.064318 0.065785 0.06761 0.070671 0.076064 0.084813 0.097484
0.04676 0.036508 0.20211 0.30403 0.30899 0.29724 0.2888 0.26975 0.22378 0.17217 0.13007 0.094774 0.06427 0.039713 0.024611 0.023855 0.031739 0.040636 0.048466 0.054759 0.059317 0.062055 0.063039 0.06249 0.060715 0.058017 0.054646 0.050799 0.046669 0.042488 0.038577 0.035371 0.033375 0.032991 0.034285 0.036919 0.040331 0.043947 0.047289 0.049999 0.051827 0.052641 0.05246 0.05154 0.050541 0.050751 0.054075 0.062328 0.076145
0.45716 0.45894 0.401 0.29901 0.25921 0.27 0.28856 0.28529 0.24526 0.19462 0.15216 0.11669 0.087057 0.064686 0.051195 0.046672 0.048511 0.053255 0.05858 0.063228 0.066504 0.068067 0.067869 0.066094 0.063052 0.059061 0.054391 0.049257 0.043866 0.038465 0.03341 0.029232 0.026618 0.026152 0.027838 0.031042 0.034924 0.038777 0.042072 0.044419 0.04552 0.045154 0.043196 0.039705 0.035193 0.031361 0.032054 0.041014 0.05769
0.36208 0.49796 0.34888 0.13823 0.094614 0.15343 0.20832 0.25568 0.25301 0.216 0.17679 0.14186 0.11237 0.089973 0.07538 0.068009 0.066139 0.067585 0.070377 0.073062 0.07469 0.074754 0.073129 0.069973 0.065588 0.060297 0.05437 0.048019 0.041442 0.034872 0.028667 0.023442 0.020188 0.01989 0.022419 0.026571 0.031181 0.035481 0.038966 0.041261 0.042051 0.041048 0.037975 0.032568 0.02465 0.014703 0.010507 0.024877 0.046331
0.36552 0.38072 0.32577 0.12759 0.0235 0.032106 0.11778 0.22257 0.25595 0.23138 0.19474 0.15979 0.1301 0.10782 0.093259 0.0853 0.082122 0.08184 0.082787 0.083657 0.083542 0.081944 0.078747 0.074114 0.068355 0.061786 0.054664 0.047185 0.039514 0.031838 0.024453 0.017976 0.013852 0.014095 0.018126 0.023586 0.0291 0.034017 0.037941 0.040566 0.041619 0.040836 0.037958 0.032745 0.025087 0.015727 0.012424 0.026181 0.047473
0.13641 0.2933 0.32424 0.14715 0.068972 0.10465 0.16766 0.24525 0.26694 0.23818 0.19916 0.16299 0.13387 0.11405 0.10278 0.097513 0.095623 0.095267 0.095214 0.094591 0.092787 0.08948 0.084653 0.078519 0.071403 0.063617 0.055399 0.046917 0.038294 0.029647 0.021138 0.01315 0.0073819 0.0090565 0.015427 0.022277 0.028675 0.03427 0.038819 0.042109 0.043951 0.044184 0.04272 0.039649 0.035537 0.032168 0.033413 0.042885 0.060065
0.54158 0.54261 0.42921 0.26661 0.20547 0.22007 0.26099 0.29275 0.27761 0.23182 0.18547 0.14694 0.12038 0.10742 0.10431 0.1054 0.10706 0.1079 0.10748 0.10565 0.10225 0.097258 0.090818 0.083222 0.074822 0.065928 0.056759 0.047457 0.038112 0.02879 0.019548 0.010445 0.0015548 0.0070424 0.015232 0.022897 0.0299 0.036097 0.041341 0.045494 0.048444 0.050136 0.050632 0.050224 0.049634 0.050263 0.05419 0.06334 0.078318
0.25571 0.34374 0.26001 0.19084 0.21826 0.25398 0.29235 0.30906 0.27126 0.2088 0.15248 0.11017 0.08946 0.090847 0.1016 0.11163 0.11783 0.12027 0.11969 0.11675 0.11183 0.10523 0.097252 0.088292 0.078734 0.06889 0.058966 0.049088 0.039345 0.029821 0.020665 0.012344 0.0073462 0.010839 0.018015 0.025531 0.032725 0.03935 0.045252 0.050317 0.05448 0.057749 0.060262 0.062361 0.064695 0.068291 0.074448 0.084363 0.098642
0.2126 0.18856 0.12267 0.075513 0.15449 0.20475 0.26378 0.29496 0.25266 0.17796 0.10877 0.055578 0.046977 0.075613 0.10227 0.12007 0.12967 0.13304 0.13201 0.1279 0.1215 0.11337 0.10398 0.093804 0.083257 0.072656 0.062203 0.052027 0.042241 0.033008 0.024674 0.018112 0.015257 0.017544 0.023153 0.029962 0.037005 0.043864 0.050319 0.056244 0.061586 0.066375 0.070769 0.075092 0.079891 0.085931 0.094091 0.10514 0.11948
